iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BHS,"Bahamas, The",Latin America & Caribbean,5167.39,51673.91,227778.60,303235.17,303235.17,303235.17,303235.17,303235.17,303235.17
BIH,Bosnia and Herzegovina,Europe & Central Asia,57977.85,579778.46,2555663.43,3604900.37,3604900.37,3604900.37,3604900.37,3604900.37,3604900.37
BLR,Belarus,Europe & Central Asia,301700.20,3017001.95,3292199.27,3292199.27,3292199.27,3292199.27,3292199.27,3292199.27,3292199.27
BLZ,Belize,Latin America & Caribbean,6718.50,67185.01,296151.51,732316.57,897457.24,897457.24,897457.24,897457.24,897457.24
BMU,Bermuda,North America,3474.05,34740.46,69823.01,69823.01,69823.01,69823.01,69823.01,69823.01,69823.01
BOL,Bolivia,Latin America & Caribbean,2279351.47,19714971.19,37110831.68,13112372.92,5664950.99,5664950.99,5664950.99,5664950.99,5664950.99
BRA,Brazil,Latin America & Caribbean,7147023.53,71470235.27,230546594.15,230546594.15,230546594.15,230546594.15,230546594.15,230546594.15,230546594.15
BRB,Barbados,Latin America & Caribbean,5611.18,56111.83,207149.93,207149.93,207149.93,207149.93,207149.93,207149.93,207149.93
BRN,Brunei Darussalam,East Asia & Pacific,13981.04,139810.41,226889.10,226889.10,226889.10,226889.10,226889.10,226889.10,226889.10
BTN,Bhutan,South Asia,796.47,7964.65,35108.18,86814.70,108387.51,108387.51,108387.51,108387.51,108387.51
BWA,Botswana,Sub-Saharan Africa,929380.55,7742499.63,17092012.87,7196723.23,3862784.52,3862784.52,3862784.52,3862784.52,3862784.52
CAF,Central African Republic,Sub-Saharan Africa,19953.61,192498.48,740659.87,1413570.63,1756384.53,881647.03,841044.48,841044.48,841044.48
CAN,Canada,North America,3179503.16,28183727.76,28183727.76,28183727.76,28183727.76,28183727.76,28183727.76,28183727.76,28183727.76
CHE,Switzerland,Europe & Central Asia,947770.58,7178534.29,7178534.29,7178534.29,7178534.29,7178534.29,7178534.29,7178534.29,7178534.29
CHL,Chile,Latin America & Caribbean,2927619.46,3118786.18,3118786.18,3118786.18,3118786.18,3118786.18,3118786.18,3118786.18,3118786.18
CHN,China,East Asia & Pacific,6198776.08,61987760.83,273242049.74,603424965.00,603424965.00,603424965.00,603424965.00,603424965.00,603424965.00
CIV,Cote d'Ivoire,Sub-Saharan Africa,487663.98,4744480.42,18847235.19,38226356.19,58912387.47,19662482.54,18231564.77,18231564.77,18231564.77
CMR,Cameroon,Sub-Saharan Africa,447308.73,4311411.61,16531804.47,31345787.66,38113932.57,13165003.23,11463906.54,11463906.54,11463906.54
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,821174.31,7743516.70,27329441.28,44248289.00,35417395.22,20011538.75,19772829.67,19772829.67,19772829.67
COG,"Congo, Rep.",Sub-Saharan Africa,208144.06,1960162.42,6883475.74,11038927.78,4546598.42,3219059.76,3219059.76,3219059.76,3219059.76
COL,Colombia,Latin America & Caribbean,4434011.55,42730081.86,163738091.33,310074588.29,145350932.17,49129340.88,43471150.23,43471150.23,43471150.23
COM,Comoros,Sub-Saharan Africa,24320.98,220458.98,669970.57,815771.45,295387.27,295387.27,295387.27,295387.27,295387.27
CPV,Cabo Verde,Sub-Saharan Africa,15097.42,146122.71,569174.53,1112011.56,798428.67,212520.36,204926.78,204926.78,204926.78
