no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
251,Group 12-23,v2 mini,"28 April 2025, 02:09",23,13,23,Success
252,Group 11-9,v2 mini,"28 April 2025, 20:42",27,,27,Success
253,Group 12-10,v2 mini,"29 April 2025, 02:34",23,13,23,Success
254,Group 6-75,v2 mini,"2 May 2025, 01:51",28,,28,Success
255,Group 6-84,v2 mini,"4 May 2025, 08:54",29,,29,Success
256,Group 6-93,v2 mini,"7 May 2025, 01:17",28,,28,Success
257,Group 15-3,v2 mini,"10 May 2025, 00:19",26,,26,Success
258,Group 6-91,v2 mini,"10 May 2025, 06:28",28,,28,Success
259,Group 15-4,v2 mini,"13 May 2025, 01:15",26,,26,Success
260,Group 6-83,v2 mini,"13 May 2025, 05:02",28,,28,Success
261,Group 6-67,v2 mini,"14 May 2025, 16:38",28,,28,Success
262,Group 15-5,v2 mini,"16 May 2025, 13:43",26,,26,Success
263,Group 12-15,v2 mini,"21 May 2025, 03:19",23,13,23,Success
264,Group 11-16,v2 mini,"23 May 2025, 22:32",27,,27,Success
265,Group 12-22,v2 mini,"24 May 2025, 17:19",23,13,23,Success
266,Group 17-1,v2 mini,"27 May 2025, 16:57",24,,24,Success
267,Group 10-32,v2 mini,"28 May 2025, 13:30",27,,27,Success
268,Group 11-18,v2 mini,"31 May 2025, 20:10",27,,27,Success
269,Group 12-19,v2 mini,"3 June 2025, 04:43",23,13,23,Success
270,Group 11-22,v2 mini,"4 June 2025, 23:40",27,,27,Success
271,Group 15-8,v2 mini,"8 June 2025, 14:20",26,,26,Success
272,Group 12-24,v2 mini,"10 June 2025, 13:05",23,13,23,Success
273,Group 15-6,v2 mini,"13 June 2025, 01:54",26,,26,Success
274,Group 12-26,v2 mini,"13 June 2025, 15:29",23,13,23,Success
275,Group 15-9,v2 mini,"17 June 2025, 01:36",26,,26,Success
276,Group 10-18,v2 mini,"18 June 2025, 05:55",28,,28,Success
277,Group 10-23,v2 mini,"23 June 2025, 05:58",27,,27,Success
278,Group 10-16,v2 mini,"25 June 2025, 19:54",27,,27,Success
279,Group 10-34,v2 mini,"28 June 2025, 04:26",27,,27,Success
280,Group 15-7,v2 mini,"28 June 2025, 17:13",26,,26,Success
281,Group 10-25,v2 mini,"2 July 2025, 06:28",27,,27,Success
282,Group 10-28,v2 mini,"8 July 2025, 08:21",28,,28,Success
283,Group 15-2,v2 mini,"16 July 2025, 02:05",26,,26,Success
284,Group 17-3,v2 mini,"19 July 2025, 03:52",24,,24,Success
285,Group 10-26,v2 mini,"26 July 2025, 09:01",28,,28,Success
286,Group 17-2,v2 mini,"27 July 2025, 04:31",24,,24,Success
287,Group 10-29,v2 mini,"30 July 2025, 03:37",28,,28,Success
288,Group 13-4,v2 mini,"31 July 2025, 18:35",19,,19,Success
289,Group 10-30,v2 mini,"4 August 2025, 07:57",28,,28,Success
290,Group 17-4,v2 mini,"14 August 2025, 05:05",24,,24,Success
291,Group 10-20,v2 mini,"14 August 2025, 12:29",28,,28,Success
292,Group 17-5,v2 mini,"18 August 2025, 16:26",24,,24,Success
293,Group 17-6,v2 mini,"22 August 2025, 17:04",24,,24,Success
294,Group 10-56,v2 mini,"27 August 2025, 11:10",28,,28,Success
295,Group 10-11,v2 mini,"28 August 2025, 08:12",28,,28,Success
296,Group 17-7,v2 mini,"30 August 2025, 04:59",24,,24,Success
297,Group 10-14,v2 mini,"31 August 2025, 11:49",28,,28,Success
298,Group 17-8,v2 mini,"3 September 2025, 03:51",24,,24,Success
299,Group 10-22,v2 mini,"3 September 2025, 11:56",28,,28,Success
300,Group 10-57,v2 mini,"5 September 2025, 12:32",28,,28,Success
301,Group 17-9,v2 mini,"6 September 2025, 18:06",24,,24,Success
302,Group 17-10,v2 mini,"13 September 2025, 17:55",24,,24,Success
303,Group 10-61,v2 mini,"18 September 2025, 09:30",28,,28,Success
304,Group 17-12,v2 mini,"19 September 2025, 16:31",24,,24,Success
305,Group 10-27,v2 mini,"21 September 2025, 10:53",28,,28,Success
306,Group 10-15,v2 mini,"25 September 2025, 08:39",28,,28,Success
307,Group 17-11,v2 mini,"26 September 2025, 04:26",24,,24,Success
308,Group 11-20,v2 mini,"29 September 2025, 02:04",28,,28,Success
309,Group 11-39,v2 mini,"3 October 2025, 14:06",28,,28,Success
310,Group 10-59,v2 mini,"7 October 2025, 06:46",28,,28,Success
311,Group 11-17,v2 mini,"8 October 2025, 03:54",28,,28,Success
312,Group 10-52,v2 mini,"16 October 2025, 09:27",28,,28,Success
313,Group 10-17,v2 mini,"19 October 2025, 17:39",28,,28,Success
314,Group 11-19,v2 mini,"19 October 2025, 19:24",28,,28,Success
315,Group 11-5,v2 mini,"22 October 2025, 14:16",28,,28,Success
316,Group 11-12,v2 mini,"25 October 2025, 14:20",28,,28,Success
317,Group 10-21,v2 mini,"26 October 2025, 15:00",28,,28,Success
