year,series,kt_per_yr,quality
1918,wire_us,557,tabulated
1919,wire_us,593.9,tabulated
1920,wire_us,746.1,tabulated
1921,wire_us,747.1,interpolated
1922,wire_us,748.2,interpolated
1923,wire_us,749.2,interpolated
1924,wire_us,750.2,interpolated
1925,wire_us,751.2,interpolated
1926,wire_us,752.2,interpolated
1927,wire_us,753.2,interpolated
1928,wire_us,754.2,interpolated
1929,wire_us,755.2,interpolated
1930,wire_us,756.3,interpolated
1931,wire_us,757.3,interpolated
1932,wire_us,758.3,interpolated
1933,wire_us,759.3,interpolated
1934,wire_us,760.4,interpolated
1935,wire_us,761.4,interpolated
1936,wire_us,762.4,interpolated
1937,wire_us,763.4,interpolated
1938,wire_us,764.5,interpolated
1939,wire_us,765.5,interpolated
1940,wire_us,766.5,interpolated
1941,wire_us,767.6,interpolated
1942,wire_us,768.6,benchmark (absorption/price)
1943,wire_us,675.1,interpolated
1944,wire_us,593,interpolated
1945,wire_us,520.8,benchmark (absorption/price)
1946,wire_us,612.4,interpolated
1947,wire_us,720,benchmark (absorption/price)
1948,wire_us,776.1,interpolated
1949,wire_us,836.7,interpolated
1950,wire_us,901.9,benchmark (absorption/price)
1951,wire_us,822.9,interpolated
1952,wire_us,750.8,interpolated
1953,wire_us,685.1,interpolated
1954,wire_us,625,benchmark (absorption/price)
1955,wire_us,613.6,interpolated
1956,wire_us,602.4,interpolated
1957,wire_us,591.3,interpolated
1958,wire_us,580.5,benchmark (absorption/price)
1959,wire_us,576.2,interpolated
1960,wire_us,572,interpolated
1961,wire_us,567.8,interpolated
1962,wire_us,563.6,interpolated
1963,wire_us,559.4,benchmark (absorption/price)
1964,wire_us,545.5,interpolated
1965,wire_us,531.9,interpolated
1966,wire_us,518.6,interpolated
1967,wire_us,505.7,benchmark (absorption/price)
1968,wire_us,534.3,interpolated
1969,wire_us,564.5,interpolated
1970,wire_us,596.4,interpolated
1971,wire_us,630.1,interpolated
1972,wire_us,665.7,benchmark (absorption/price)
1973,wire_us,659.2,interpolated
1974,wire_us,652.7,interpolated
1975,wire_us,646.3,interpolated
1976,wire_us,640,interpolated
1977,wire_us,633.7,benchmark (absorption/price)
1978,wire_us,567.7,interpolated
1979,wire_us,508.6,interpolated
1980,wire_us,455.7,interpolated
1981,wire_us,408.2,interpolated
1982,wire_us,365.7,benchmark (absorption/price)
1983,wire_us,408.2,interpolated
1984,wire_us,455.7,interpolated
1985,wire_us,508.6,interpolated
1986,wire_us,567.7,interpolated
1987,wire_us,633.7,benchmark (absorption/price)
1988,wire_us,705.2,interpolated
1989,wire_us,784.8,interpolated
1990,wire_us,873.4,interpolated
1991,wire_us,972,interpolated
1992,wire_us,1082,benchmark (absorption/price)
1993,wire_us,1114,interpolated
1994,wire_us,1147,interpolated
1995,wire_us,1181,interpolated
1996,wire_us,1216,interpolated
1997,wire_us,1252,interpolated
1998,wire_us,1289,interpolated
1999,wire_us,1327,interpolated
2000,wire_us,1366,interpolated
1942,wire_us_implied_production,768.4,derived (consumption x (1 - import share))
1945,wire_us_implied_production,520.7,derived (consumption x (1 - import share))
1947,wire_us_implied_production,719.8,derived (consumption x (1 - import share))
1950,wire_us_implied_production,841.1,derived (consumption x (1 - import share))
1954,wire_us_implied_production,541.5,derived (consumption x (1 - import share))
1958,wire_us_implied_production,399.4,derived (consumption x (1 - import share))
1963,wire_us_implied_production,281.1,derived (consumption x (1 - import share))
1967,wire_us_implied_production,297.5,derived (consumption x (1 - import share))
1972,wire_us_implied_production,314.5,derived (consumption x (1 - import share))
1977,wire_us_implied_production,242.5,derived (consumption x (1 - import share))
1982,wire_us_implied_production,106,derived (consumption x (1 - import share))
1987,wire_us_implied_production,191.9,derived (consumption x (1 - import share))
1992,wire_us_implied_production,772.7,derived (consumption x (1 - import share))
2002,wire_us_implied_production,771,derived (consumption x (1 - import share))
